2072.000	GALV 20GA X 72.000" X COIL	
222.125	GALV 22GA X 2.125" X COIL	
223.625	GALV 22GA X 3.625" X COIL	
224.032	GALV 22GA X 4.032" X COIL	
224.437	GALV 22GA X 4.437" X COIL	
2248.000	GALV 22GA X 48.000" X COIL	
225.394	GALV 22GA X 5.394" X COIL	
225.750	GALV 22GA X 5.750" X COIL	
226	2" TURN VANE 26GA         100'	
226.187	GALV 22GA X 6.187" X COIL	
226.719	GALV 22GA X 6.719" X COIL	
226.969	GALV 22GA X 6.969" X COIL	
2260.000	GALV 22GA X 60.000" X COIL	
226719	GALV 22GA X 6.719" X COIL	
226A	2"TURNING VANE INSTALLED	
226CTL	2" VANE CUT FOR FITTINGS	
2272.000	GALV 22GA X 72.000" X COIL	
2410.000	GALV 24GA X 10.000" X COIL	
2410.500	GALV 24GA X 10.500" X COIL	
2411.000	GALV 24GA X 11.000" X COIL	
2411.500	GALV 24GA X 11.500" X COIL	
2412.000	GALV 24GA X 12.000" X COIL	
2413.000	GALV 24GA X 13.000" X COIL	
2414.000	GALV 24GA X 14.000" X COIL	
2414.500	GALV 24GA X 14.500" X COIL	
2415.000	GALV 24GA X 15.000" X COIL	
2416.000	GALV 24GA X 16.000" X COIL	
2418.000	GALV 24GA X 18.000" X COIL	
242.125	GALV 24GA X 2.125" X COIL	
2420.000	GALV 24GA X 20.000" X COIL	
2423.000	GALV 24GA X 23.000" X COIL	
243.625	GALV 24GA X 3.625" X COIL	
244.032	GALV 24GA X 4.032" X COIL	
244.437	GALV 24GA X 4.437" X COIL	
2440.321	GALV 24GA X 40.321" X COIL	
2448.000	GALV 24GA X 48.000" X COIL	
245.394	GALV 24GA X 5.394" X COIL	
246.187	GALV 24GA X 6.187" X COIL	
246.969	GALV 24GA X 6.969" X COIL	
2460.000	GALV 24GA X 60.000" X COIL	
2472.000	GALV 24GA X 72.000" X COIL	
248.000	GALV 24GA X 8.000" X COIL	
249.000	GALV 24GA X 9.000" X COIL	
249.500	GALV 24GA X 9.500" X COIL	
2510.250	GALV 25GA X 10.250" X COIL	
2512.250	GALV 25GA X 12.250" X COIL	
2514.250	GALV 25GA X 14.250" X COIL	
2522.000	GALV 25GA X 22.000" X COIL	
2525.000	GALV 25GA X 25.000" X COIL	
2528.000	GALV 25GA X 28.000" X COIL	
257.250	GALV 25GA X 7.250" X COIL	
258.250	GALV 25GA X 8.250" X COIL	
259.250	GALV 25GA X 9.250" X COIL	
2610.000	GALV 26GA X 10.000" X COIL	
2611.000	GALV 26GA X 11.000" X COIL	
2612.000	GALV 26GA X 12.000" X COIL	
2612.500	GALV 26GA X 12.500" X COIL	
2613.000	GALV 26GA X 13.000" X COIL	
2614.000	GALV 26GA X 14.000" X COIL	
2614.500	GALV 26GA X 14.500" X COIL	
2615.000	GALV 26G X 15.000" X COIL	
2616.000	GALV 26GA X 16.000" X COIL	
2618.000	GALV 26GA X 18.000" X COIL	
262.125	GALV 26GA X 2.125" X COIL	
2620.000	GALV 26GA 20.000" X COIL	
263.500	GALV 26GA X 3.500" X COIL	
263.525	GALV 26GA X 3.525"X COIL	
263.625	GALV 26GA X 3.625" X COIL	
264.437	GALV 26GA X 4.437" X COIL	
264.687	GALV 26GA X 4.687" X COIL	
2648.000	GALV 26GA X 48.000" X COIL	
265.394	GALV 26GA X 5.394" X COIL	
266.187	GALV 26GA X 6.187" X COIL	
